shot,diagnostic,signal_name,label,units,source_file,dataset_path,time_dataset_path,time_discovery_method,data_time_length_match,observations,finite_observations,nan_count,inf_count,zero_count,negative_count,minimum,maximum,mean,median,std_dev,time_found,time_observations,time_start,time_end,duration_s,median_timestep_s,min_timestep_s,max_timestep_s,duplicate_time_count,missing_pct,finite_pct,time_quality
27933,ANB,ANB_SS_SUM_POWER,,MW,anb27933.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,8,-0.029985249042510986,1.7379273176193237,0.14739879006707238,0.0005192022654227912,0.44523806015403583,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27933,ANB,ANB_SW_SUM_POWER,,MW,anb27933.nc,anb/sw_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,45215,-0.00022622679534833878,1.615267276763916,0.11211809682213898,-5.748427429352887e-05,0.386459150213744,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27933,ANB,ANB_TOT_SUM_POWER,,MW,anb27933.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,24,-0.029992317780852318,3.240414619445801,0.2595168870425311,0.00045185760245658457,0.806794270230921,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27933,ANU,ANU_ERRORS,errors,"error, neutr",anu27933.nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,23750,23750,0,0,242,0,0.0,7804748300288.0,5032711040831.794,5739025268736.0,1973835360779.6638,True,23750,-0.09749999642372131,1.3974999655038118,1.4949999619275331,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27933,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27933.nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,23750,23750,0,0,242,45,-50192539648.0,92902852132864.0,59788525546034.555,68223328321536.0,23572456837521.76,True,23750,-0.09749999642372131,1.3974999655038118,1.4949999619275331,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27933,ANU,ANU_NEUTRONS_CB,neutrons_cb,neutrons/sec,anu27933.nc,anu/neutrons_cb/data,/time,HDF5 dimension reference,True,122880,122880,0,0,0,98188,-61331705856.0,92902852132864.0,11511088512616.066,-60918403072.0,25803138461204.97,True,122880,-0.10000000149011612,1.1287899674680375,1.2287899689581536,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27933,ANU,ANU_NEUTRONS_DC,neutrons_dc,neutrons/sec,anu27933.nc,anu/neutrons_dc/data,/anu/neutrons_dc/time,HDF5 dimension reference,True,118881,118881,0,0,0,32050,-4209598529536.0,90812931112960.0,12994872819107.666,1592052940800.0,26723005717735.316,True,118881,-0.08000000566244125,1.1087999643059447,1.188799969968386,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,0,0.0,100.0,OK
27934,AMC,AMC_PLASMA CURRENT,Plasma Current,kA,amc27934.nc,amc/plasma_current/data,/time,HDF5 dimension reference,True,30000,30000,0,0,0,19363,-28.231422424316406,795.0078735351562,47.39371642635398,-0.2119290754199028,161.67302758425663,True,30000,-1.999900221824646,3.9998996266076574,5.999799848432303,0.00019999999494757503,0.00019999999494757503,0.00019999999494757503,0,0.0,100.0,OK
27934,ANB,ANB_SS_SUM_POWER,,MW,anb27934.nc,anb/ss_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,7,-0.037282224744558334,1.6535022258758545,0.2351720512629778,0.0005548166809603572,0.5437153912539592,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27934,ANB,ANB_SW_SUM_POWER,,MW,anb27934.nc,anb/sw_sum_power/data,/anb/sw_sum_power/time,HDF5 dimension reference,True,2,2,0,0,2,0,0.0,0.0,0.0,0.0,0.0,True,2,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,100.0,OK
27934,ANB,ANB_TOT_SUM_POWER,,MW,anb27934.nc,anb/tot_sum_power/data,/time,HDF5 dimension reference,True,50001,50001,0,0,0,7,-0.037282224744558334,1.6535022258758545,0.2351720512629778,0.0005548166809603572,0.5437153912539592,True,50001,-0.5,1.999999936844688,2.499999936844688,4.999999873689376e-05,4.999999873689376e-05,4.999999873689376e-05,0,0.0,100.0,OK
27934,ANU,ANU_ERRORS,errors,"error, neutr",anu27934.nc,anu/errors/data,/anu/errors/time,HDF5 dimension reference,True,38221,38221,0,0,217,0,0.0,5415873019904.0,3073614807903.002,3254000549888.0,1028578098534.562,True,38221,-0.09749999642372131,1.397499949671328,1.4949999460950494,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
27934,ANU,ANU_NEUTRONS,neutrons,neutrons/sec,anu27934.nc,anu/neutrons/data,/anu/neutrons/time,HDF5 dimension reference,True,38221,38221,0,0,217,51,-51287142400.0,64362576347136.0,36381244905190.25,38534333333504.0,12282616509300.18,True,38221,-0.09749999642372131,1.397499949671328,1.4949999460950494,9.999999747378752e-06,9.999999747378752e-06,0.004999999888241291,0,0.0,100.0,OK
